Nhood,Label,Avg_Need_ZScore,Level of Need,Socioeconomic Class,College Student Enrollment,College_Enrollment_Rate,Family Poverty Rate,Unemploy_Rate,Lack_of_Educ_Attain_Rate,Single_Parent_Rate,Avg_Homicide_Rate,Homicides,Avg_Homicides,WA_Med_HH_Income,WA_Med_Home_Value,WA_Med_Contract_Rent,Total_Pop,Hispanic_Latino_Rate,NH_White_Rate,NH_Black_Rate,NH_AmericanIndian_Rate,NH_Asian_Rate,NH_PI_Rate,NH_Other_Rate,NH_Biracial_Rate,Total_Housing_Units,Occupied_Units_Rate,Vacant_Unit_Rate,Shape__Area,Shape__Length,x,y
East Hills,East Hills,1.58942915816027,Extreme Need,Lower,Not Significant,3.93129770992366,39.1959798994975,9.9250936329588,82.3211064341551,49.0787269681742,76.0719225449516,11,2.2,16417,62649.031812,218,2892,1.17565698478562,2.21300138312586,91.8395573997234,0.4149377593361,0.138312586445367,0.0345781466113416,0.484094052558783,3.69986168741355,1449,84.7481021394065,15.2518978605935,2422302.06640625,8889.57893013276,,
East Liberty,East Liberty,-0.371869464444886,Low Need,Working,Not Significant,12.2481725797825,7.35970561177553,2.41574128190142,48.4320557491289,22.7230910763569,12.9303378050752,4,0.8,44826.5776620578,258624.92926,784.221819731515,6187,4.12154517536771,40.0032325844513,41.8134798771618,0.274769678357847,8.22692742847907,0.0161629222563439,0.678842734766446,4.86503959915953,3706,88.3432271991365,11.6567728008635,2603479.94921875,9147.88360162618,,
Elliott-West End,Elliott-West End,0.525291601228257,High Need,Working,Not Significant,2.27897838899804,22.5997045790251,5.86206896551724,86.1204013377926,37.8138847858198,0,0,0,35972,68296.413678,545.266889074229,2398,2.75229357798165,57.5062552126772,31.9432860717264,0.125104253544621,0.875729774812344,0.208507089241034,0.375312760633862,6.21351125938282,1351,82.8275351591414,17.1724648408586,3610857.85546875,11050.6911066964,,
Esplen-Sheraden,Esplen-Sheraden,0.778356132311142,High Need,Working,Not Significant,10.6152241918665,25.6371814092954,9.64137214137214,75.6139843975729,23.2383808095952,36.5697568111172,10,2,32117.0630215195,59440.976413,601.393490583288,5469,2.70616200402267,39.7513256536844,44.2311208630463,0.12799414883891,3.96781861400622,0.109709270433352,1.46279027244469,7.6430791735235,2529,87.9794385132464,12.0205614867537,5008070.99609375,12049.2714867111,,
Fairywood,Fairywood,-0.486767869666801,Low Need,Middle,Not Significant,9.65207631874298,20,1.57766990291262,50.9433962264151,0,18.3150183150183,1,0.2,66181,Insufficient Data,974,1092,4.3040293040293,50.1831501831502,22.985347985348,0,15.2930402930403,0,0.183150183150183,7.05128205128205,547,94.6983546617916,5.30164533820841,4324562.44140625,10576.3931498649,,
Fineview,Fineview,1.15784272879012,Extreme Need,Working,Not Significant,9.02777777777778,10.828025477707,11.3684210526316,76.9448373408769,27.3885350318471,105.263157894737,6,1.2,35124.4885964912,93942.894737,555,1140,2.28070175438596,40,50.7017543859649,0.175438596491228,0.526315789473684,0,0.701754385964912,5.6140350877193,671,83.3084947839046,16.6915052160954,1118712.375,5060.13456969615,,
Friendship,Friendship,-0.900107814474829,Very Low Need,Working,Not Significant,21.5965008201203,5.55555555555556,2.04200700116686,22.6267880364109,8.33333333333333,0,0,0,40072.3525216505,283800,955.996943453897,1963,7.53948038716251,59.6535914416709,10.2394294447275,0.152827305145186,17.5751400916964,0,0.509424350483953,4.3301069791136,1333,93.2483120780195,6.7516879219805,475658.0625,3091.51608941984,,
Garfield,Garfield,0.392285765720448,High Need,Working,Not Significant,8.10659186535764,27.9220779220779,4.56036745406824,64.4905660377358,23.5064935064935,43.919846280538,8,1.6,49577.1636014274,121246.33544,668.355750754872,3643,3.04693933571232,27.0381553664562,60.7466373867691,0.247049135328026,2.38814164150425,0.0548998078506725,1.5920944276695,4.88608289870985,1920,85.15625,14.84375,2049177.98046875,5840.17151020749,,
Glen Hazel-Hazelwood,Glen Hazel-Hazelwood,0.302526339958789,High Need,Lower,Not Significant,3.28270455658991,27.6220145379024,4.4882790165809,69.909793814433,25.4413291796469,17.5901495162709,4,0.8,24697.9700967458,85420.030783,706.384009691096,4548,2.41864555848725,44.3931398416887,45.3605980650836,0.307827616534741,2.2207563764292,0.0219876868953386,0.593667546174142,4.68337730870712,2332,82.5042881646655,17.4957118353345,9120135.4765625,16326.6170626038,,
Greenfield,Greenfield,-0.628252157004753,Low Need,Middle,Not Significant,9.21583459404942,3.06065664997218,3.27017543859649,47.1322075155941,6.12131329994435,5.50888307395676,2,0.4,64895.3219887077,176400.12395,881.602800546448,7261,4.586145159069,79.1901941881284,4.21429555157692,0.0826332461093513,6.26635449662581,0.0688610384244594,0.647293761189919,4.94422255887619,3766,92.0074349442379,7.99256505576208,3458157.8671875,9019.43948691682,,
