Neighborhood Name,Level of Disadvantage,Total Population,Percent White Alone,Percent Black Alone,Percent Asian Alone,Percent Latino Alone,Percent Biracial or Other,Family Poverty Rate,Single Mother Rate,Male Uneml/Unattach Rate,Percent of 25 and up w/o Bachelor or more,Median Home Value,Median Gross Rent,Percent w/o Internet Access,Percent w/o Vehicle,Average Child to Adult Income Rank Outcome,Average Dispatches for Shots Fired/Reported,Disadvantage Z Score
"Mt. Oliver-St. Clair
",High Disadvantage,914,48.5776805251641,22,0,18.5995623632385,10.8227571115974,5.5,25.9574468085106,20.8333333333333,85.6899488926746,55700,973,14.3292682926829,25.609756097561,23397.35,3.7199124726477,0.143174123716449
New Homestead,Very Low Disadvantage,960,82.2916666666667,11.25,0,1.25,5.20833333333334,0,2.64150943396226,11.5384615384615,65.9217877094972,121300,925,16.7070217917676,5.56900726392252,38294.512,1.14583333333333,-0.856626182836457
North Oakland,Low Disadvantage,9357,68.4621139254034,8.53906166506359,18.0506572619429,2.12675002671797,2.82141712087207,12.3748726655348,0,46.2068965517241,25.0346740638003,222627.184466019,912.398058252427,10.6763925729443,44.263925729443,27325.0252524272,0.138076799236087,-0.469825417382028
Northview Heights,Extreme Disadvantage,1363,2.27439471753485,89.8752751283933,0,5.86940572267058,1.98092443140132,61.5,44.5402298850575,24.9158249158249,94.1022280471822,0,569,33.8181818181818,57.0909090909091,14450.922,11.0051357300073,1.55071631709744
Overbrook,Moderate Disadvantage,1502,89.0146471371505,4.12782956058589,0.266311584553928,4.99334221038615,1.59786950732357,20.3,9.06666666666667,16.4969450101833,70.7894736842105,93400,773,22.9139072847682,12.317880794702,33749.363,1.26498002663116,-0.362045100656493
Perry North,Moderate Disadvantage,3511,64.2836798632868,28.3679863286813,0,3.36086585018513,3.98746795784677,9.71784037558686,14.7887323943662,26.7526188557615,63.7141793822106,92639.8461976645,858.504699515807,16.8594035301278,13.0858186244674,29022.7556995158,2.02815401909335,-0.227995702032636
Perry South,High Disadvantage,3730,30.6166219839142,65.7104557640751,0.268096514745308,1.98391420911528,1.42091152815014,24.7845916795069,28.6594761171032,23.345259391771,69.9167657550535,66480.4021447721,763.476407506702,24.4483159117305,25.6678281068525,21392.6865002681,5.28066758188444,0.400586004380563
Point Breeze,Very Low Disadvantage,5479,83.7926628946888,5.58496075926264,5.31118817302427,2.31794123015149,2.9932469428728,3.98606610499028,7.38820479585224,11.5933044017359,14.2545454545455,357518.068990692,1194.01587881,4.00981996726678,8.51063829787234,36491.9859262639,0.342468069275507,-1.13481458318269
Point Breeze North,Moderate Disadvantage,1814,54.0242557883131,36.3285556780595,1.81918412348401,5.01653803748622,2.81146637265711,18,5.2757793764988,15.695067264574,39.3796358732299,205600,1247,9.35910478128179,12.8179043743642,25077.473,4.5755237045204,-0.334477821314427
Polish Hill,Low Disadvantage,1337,89.3044128646223,5.53477935676888,0,0.897531787584144,4.2632759910247,6.4,4.24028268551237,10.1063829787234,50.7259528130672,150900,679,18.7938288920056,20.3366058906031,34224.27,1.64547494390426,-0.778546584871528
Regent Square,Very Low Disadvantage,916,94.7598253275109,0.873362445414847,0.655021834061135,2.62008733624454,1.09170305676857,0,5.41666666666667,10.9929078014184,21.4285714285714,319200,871,9.86238532110092,5.04587155963303,46189.883,0.764192139737991,-1.37401264726854
"Ridegemont-Westwood 
",Low Disadvantage,3763,74.5681636991762,8.07866064310391,10.0451767207016,3.1357959075206,4.17220302949773,8.1,3.24607329842932,12.7641589180051,62.1448863636364,112400,776,16.0939289805269,5.44100801832761,36802.652,0.558065373372309,-0.760823725184689
Shadyside,Very Low Disadvantage,13905,69.1909385113269,4.60985257101762,20.4386911183028,3.02049622437972,2.74002157497304,6.55079113924051,3.00632911392405,23.458262350937,16.1034411704101,347441.531823085,1234.94131607335,5.4549993758582,24.4039445762077,36064.4547275081,0.132480626680171,-1.01462783776063
South Oakland,High Disadvantage,3406,70.4051673517322,15.619495008808,4.16911332941867,3.14151497357604,6.66470933646507,31.6,29.6875,42.1259842519685,61.8248175182482,114800,1083,14.1529664045747,24.8749106504646,26128.576,1.35055783910746,0.354889610607172
South Side Flats,Low Disadvantage,6407,88.8091150304355,4.29218042765725,1.91977524582488,1.9978148899641,2.9811144061183,5.24773722627737,7.00729927007299,19.4972826086957,39.1364902506964,246784.626190105,1191.72904635555,17.430441898527,21.303873431533,31606.3884465428,1.17841933313486,-0.708469498266657
South Side Slopes,Low Disadvantage,4443,79.2932703128517,10.7134818816115,1.10285842898942,6.23452622102183,2.65586315552556,8.57263803680982,13.4969325153374,19.5555555555556,58.4819980538437,97212.2664866082,1086.83299572361,13.5922330097087,19.2325473878872,34966.9624965114,1.76293115654215,-0.520958940982522
Spring Garden,Moderate Disadvantage,776,84.6649484536082,8.37628865979381,0,5.15463917525773,1.8041237113402,8.3,5.52486187845304,14.1732283464567,84.7039473684211,44100,717,31.5926892950392,36.2924281984334,28498.125,4.12371134020619,-0.217613405714322
Spring Hill-City View,High Disadvantage,2539,63.3714060653801,24.2221346987003,2.63883418668767,0.827097282394644,8.94052776683734,37.4,34.3470483005367,13.2394366197183,84.0409207161125,72500,503,30.5511811023622,28.1889763779528,25469.314,5.23828278849941,0.501918233675389
Squirrel Hill North,Very Low Disadvantage,11505,69.1525423728814,3.66797044763146,18.8526727509778,4.23294219904389,4.09387222946545,3.02173913043478,0.959909655561829,28.1516587677725,16.3697731108194,523781.929595828,1630.71820947414,4.17884278199883,13.5593220338983,36800.7975631465,0.0693053168690143,-1.04605584286488
Squirrel Hill South,Very Low Disadvantage,15092,73.8338192419825,4.11476278823218,17.2806785051683,2.84256559766764,1.92817386694938,1.56326666666667,2.06666666666667,21.3846459035906,25.6056963195857,292665.292870395,987.97091174132,11.6953896008249,20.5626749153042,41131.2334976809,0.148174595408432,-1.15345989978612
Stanton Heights,Low Disadvantage,4350,56.7586206896552,39.3333333333333,0.96551724137931,0.804597701149425,2.13793103448277,6.16576332429991,5.96205962059621,17.7186311787072,56.2676453980802,126997.563218391,967.913563218391,13.6583011583012,14.96138996139,32901.7182236782,0.808059188796406,-0.644098921264592
Strip District,Very Low Disadvantage,1020,87.2549019607843,2.05882352941176,5.88235294117647,3.33333333333333,1.47058823529411,2.6,2.56410256410256,6.187624750499,13.8888888888889,381300,1819,4.49438202247191,10.3932584269663,26956.463,4.50980392156863,-0.869091318505156
Summer Hill,Low Disadvantage,1052,88.9733840304182,9.6958174904943,0,0,1.33079847908746,0,12.987012987013,12.7388535031847,65.4986522911051,110700,869,14.344262295082,5.32786885245902,35825.469,1.71102661596958,-0.661236384604854
Swisshelm Park,Very Low Disadvantage,1309,86.0198624904507,6.49350649350649,2.7501909854851,1.68067226890756,3.05576776165011,0,4.95626822157434,14.4373673036093,48.895292987512,147800,768,15.7980456026059,7.49185667752443,44643.566,0.840336134453782,-1.0980394169691
"Terrace Village-West Oakland 
",Extreme Disadvantage,4016,40.0896414342629,43.3764940239044,10.1593625498008,2.7390438247012,3.63545816733069,42.8896788990826,45.4128440366972,45.4896907216495,68.1325301204819,36214.1932270916,714.115537848606,22.5584594222834,47.5240715268226,18112.3405694721,1.93995556618149,0.940227778132012
Troy Hill,Moderate Disadvantage,2136,84.0823970037453,4.82209737827715,1.45131086142322,1.96629213483146,7.67790262172284,10.6,9.76138828633406,26.5944645006017,54.7929665343165,81300,896,13.5265700483092,21.3365539452496,34394.875,3.41760299625468,-0.417874181035117
Upper Hill,High Disadvantage,2036,16.5520628683694,77.4557956777996,3.63457760314342,0.982318271119843,1.37524557956777,17.2,26.491646778043,48.7179487179487,61.8521078092605,87800,660,35.3971962616822,30.9579439252336,22854.287,4.46954813359528,0.42309494553723
Upper Lawrenceville,Moderate Disadvantage,2705,79.6672828096118,15.9334565619224,0.66543438077634,1.70055452865065,2.03327171903882,6.4,19.7125256673511,13.0479102956167,53.9320142059868,118100,945,10.6194690265487,11.0217216411907,25849.014,1.95933456561922,-0.350939446776163
